"","Functional_Group","sqrt(sqrt(Depthav)).trend","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","Anemone",4.66900647807475,4.27671309552267,110,-3.80643505627294,13.1444480124224,1.09172777639977,0.27733819580658
"2","ArticulatedCorallines",7.95117720024123,4.27671309552267,110,-0.524264334106466,16.4266187345889,1.85917947326544,0.0656742600374082
"3","CorticatedFoliose",0.411923331763285,4.27671309552267,110,-8.06351820258441,8.88736486611098,0.0963177380765924,0.923443485369159
"4","CorticatedMacro",-3.18608178519647,4.27671309552267,110,-11.6615233195442,5.28935974915122,-0.744983755990555,0.457870303196782
"5","Crustose",7.92424136693945,4.27671309552267,110,-0.551200167408253,16.3996829012872,1.85288121740862,0.0665798128507633
"6","Filamentous",0.0120530659514486,4.27671309552267,110,-8.46338846839625,8.48749460029914,0.00281830127068077,0.997756428686366
"7","FoiloseAlgae",1.01846011053357,4.27671309552266,110,-7.45698142381411,9.49390164488125,0.23814085438647,0.812214888526856
"8","LeatheryMacro",2.16706989425297,4.27671309552267,110,-6.30837164009472,10.6425114286007,0.506713881864486,0.613369799686581
"9","Microalgae",-3.47070576917472,4.27671309552267,110,-11.9461473035224,5.00473576517297,-0.811535796686534,0.418810630063945
"10","SuspensionFeeder",-6.08859559707662,4.27671309552267,110,-14.5640371314243,2.38684593727107,-1.42366239237578,0.157374568312213
